"addi C3 NMR shift","aryl hali C1 NMR","base N1 elec charge","liga C10 NMR shift","y.obs","mu.hat","g(mu.hat)","intercept","addi","aryl","base","liga","addi:aryl","addi:base","addi:liga","aryl:base","aryl:liga","base:liga","addi:aryl:base","addi:aryl:liga","addi:base:liga","aryl:base:liga","addi:aryl:base:liga"
"140.71","-1201.76","-0.611","139.15","0.9999999","0.9100629","11.1170457","-7.8169191"," 1.6733320"," 9.0735501"," 2.8527506"," 1.4612487","-0.3480809","-0.7048649","-0.3020655"," 2.0833941"," 1.1304616"," 0.6769522"," 0.5422615"," 0.3738273"," 0.1970782","-0.3930944"," 0.6172143"
"140.71","-1201.76","-0.611","140.09","0.9999999","0.9079539","10.8618595","-7.81691913"," 1.67333197"," 9.07355007"," 2.85275059"," 2.49920978","-0.34808092","-0.70486488"," 1.12556021"," 2.08339405","-0.78274922"," 0.22397904"," 0.54226154","-0.05967631"," 0.82191319","-0.17935012","-0.14245040"
"153.74","-1201.76","-0.611","140.09","0.9961911","0.9020257","10.2029037","-7.81691913"," 2.94516355"," 9.07355007"," 2.85275059"," 2.49920978"," 0.24298432","-0.92506749","-0.41578176"," 2.08339405","-0.78274922"," 0.22397904"," 0.09616604"," 0.12680403"," 0.21515609","-0.17935012","-0.03638613"
"153.74","-1201.76","-0.611","139.04","0.9903446","0.8905044","9.1236964","-7.81691913"," 2.94516355"," 9.07355007"," 2.85275059","-0.51816555"," 0.24298432","-0.92506749"," 0.03969643"," 2.08339405"," 0.67780835"," 0.70601977"," 0.09616604"," 0.01463572","-0.18705191","-0.10379903","-0.05746938"
"151.95","-1201.76","-0.611","139.15","0.9884921","0.9143750","11.6776694","-7.81691913"," 3.59999277"," 9.07355007"," 2.85275059"," 1.46124871"," 0.28244280","-0.87311884","-0.43274835"," 2.08339405"," 1.13046164"," 0.67695218","-0.34041428"," 0.53116391"," 0.09112835","-0.39309439","-0.24912064"
"143.12","133.69","-0.611","140.09","0.9873132","0.8778098","8.1649525","-7.81691913"," 0.45855140"," 5.50410692"," 2.85275059"," 2.49920978"," 0.21614893"," 1.03994982"," 1.29626595"," 0.61729364"," 0.99513518"," 0.22397904"," 0.18785079"," 0.10231299","-0.21872111"," 0.18122197"," 0.02581579"
"143.12","-332.15","-0.611","140.09","0.9828723","0.8866017","8.8068429","-7.81691913"," 0.45855140"," 7.33348492"," 2.85275059"," 2.49920978"," 0.19865440"," 1.03994982"," 1.29626595"," 1.16095476","-0.42189627"," 0.22397904"," 0.12261677","-0.01179036","-0.21872111"," 0.07166140"," 0.01809095"
"150.81","-1201.76","-0.611","139.15","0.9817713","0.9131820","11.5170304","-7.81691913"," 3.64014486"," 9.07355007"," 2.85275059"," 1.46124871","-0.07029500","-0.87242441","-0.44997517"," 2.08339405"," 1.13046164"," 0.67695218"," 0.02763194"," 0.05387650"," 0.02844137","-0.39309439"," 0.09128652"
"153.74","-1201.76","-0.611","139.15","0.9794801","0.9071292","10.7651943","-7.81691913"," 2.94516355"," 9.07355007"," 2.85275059"," 1.46124871"," 0.24298432","-0.92506749","-0.51154726"," 2.08339405"," 1.13046164"," 0.67695218"," 0.09616604","-0.42824904"," 0.01339941","-0.39309439"," 0.26400108"
"143.12","-1201.76","-0.611","140.09","0.9756850","0.9086617","10.9462007","-7.81691913"," 0.45855140"," 9.07355007"," 2.85275059"," 2.49920978"," 0.45880454"," 1.03994982"," 1.29626595"," 2.08339405","-0.78274922"," 0.22397904","-0.02822168","-0.02513106","-0.21872111","-0.17935012"," 0.01083776"
"153.74","156.88","-0.611","140.09","0.9729293","0.9279759","13.8840537","-7.81691913"," 2.94516355"," 7.82963670"," 2.85275059"," 2.49920978"," 2.12215869","-0.92506749","-0.41578176"," 0.75654724"," 0.31504510"," 0.22397904"," 2.06425068","-0.01117747"," 0.21515609"," 0.43839117"," 0.79071098"
"153.74","156.88","-0.611","139.15","0.9659122","0.9242946","13.2087818","-7.81691913"," 2.94516355"," 7.82963670"," 2.85275059"," 1.46124871"," 2.12215869","-0.92506749","-0.51154726"," 0.75654724"," 0.34993262"," 0.67695218"," 2.06425068"," 2.90152968"," 0.01339941","-0.88966549","-0.62158889"
"151.67","-1201.76","-0.611","139.04","0.9613228","0.8887046","8.9748931","-7.81691913","-4.27337735"," 9.07355007"," 2.85275059","-0.51816555","-0.08525212"," 6.29101656"," 0.28338035"," 2.08339405"," 0.67780835"," 0.70601977","-0.45397502","-0.07619967"," 0.28365705","-0.10379903"," 0.05100421"
"151.95","-1201.76","-0.611","139.04","0.9575261","0.8951754","9.5331603","-7.81691913"," 3.59999277"," 9.07355007"," 2.85275059","-0.51816555"," 0.28244280","-0.87311884"," 0.43744683"," 2.08339405"," 0.67780835"," 0.70601977","-0.34041428","-0.08503281","-0.42173839","-0.10379903","-0.02105693"
