"alcohol","base","sulfonyl_fluoride","y.obs","mu.hat","g(mu.hat)","intercept","a","b","sf","a:b","a:sf","b:sf","a:b:sf"
"1b","BTPP","4-CF3","0.9944553","0.8458096","6.4174184","-2.8710504"," 3.4448452"," 1.2861703"," 0.4158699"," 4.1415834"," 0.0000000"," 0.0000000"," 0.0000000"
"1g","BTMG","4-NO2","0.9893205","0.9007915","10.0755081","-2.8710504","11.4875423"," 0.8754462"," 0.5835699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1g","BTMG","4-CF3","0.9889462","0.8991193","9.9078080","-2.8710504","11.4875423"," 0.8754462"," 0.4158699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1g","BTPP","4-CF3","0.9876903","0.9031200","10.3185321","-2.8710504","11.4875423"," 1.2861703"," 0.4158699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1g","MTBD","4-CF3","0.9767770","0.9244887","13.2427415","-2.8710504","11.4875423"," 0.2834581"," 0.4158699"," 3.9269217"," 0.0000000"," 0.0000000"," 0.0000000"
"1g","BTPP","PyFluor","0.9739342","0.8993157","9.9272253","-2.8710504","11.4875423"," 1.2861703","-2.4707382"," 0.0000000"," 2.8596467","-0.3643453"," 0.0000000"
"1n","BTPP","PBSF","0.9718940","0.9272510","13.7456891","-2.87105042826","-3.42119334180"," 1.28617027124"," 2.86215826566"," 0.00002445335","15.73098461406"," 0.15859527490"," 0.00000000000"
"1n","MTBD","PBSF","0.9716542","0.9195259","12.4257375","-2.87105042826","-3.42119334180"," 0.28345809354"," 2.86215826566","-0.00002445335","15.73098461406","-0.15859527490"," 0.00000000000"
"1n","BTMG","PBSF","0.9700000","0.9241083","13.1763453","-2.8710504","-3.4211933"," 0.8754462"," 2.8621583"," 0.0000000","15.7309846"," 0.0000000"," 0.0000000"
"1r","BTPP","4-CF3","0.9700000","0.8788823","8.2384480","-2.8710504"," 4.8226312"," 1.2861703"," 0.4158699"," 4.5848270"," 0.0000000"," 0.0000000"," 0.0000000"
"1ai","BTPP","PBSF","0.9700000","0.9231947","13.0195536","-2.8710504"," 6.1672988"," 1.2861703"," 2.8621583"," 6.2466681","-1.9943938"," 0.1585953"," 1.1641072"
"1e","BTPP","4-CF3","0.9600000","0.8407470","6.2001581","-2.8710504"," 7.1904794"," 1.2861703"," 0.4158699"," 0.1786890"," 0.0000000"," 0.0000000"," 0.0000000"
"1g","BTPP","4-NO2","0.9500000","0.9046648","10.4862321","-2.8710504","11.4875423"," 1.2861703"," 0.5835699"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000"
"1ai","BTPP","4-NO2","0.9500000","0.9123890","11.4126566","-2.8710504"," 6.1672988"," 1.2861703"," 0.5835699"," 6.2466681"," 0.0000000"," 0.0000000"," 0.0000000"
"1e","BTPP","PBSF","0.9400000","0.8573068","6.9617735","-2.8710504"," 7.1904794"," 1.2861703"," 2.8621583"," 0.1786890","-1.8432682"," 0.1585953"," 0.0000000"
"1g","BTMG","4-Cl","0.9400000","0.8768653","8.1012362","-2.8710504283","11.4875423490"," 0.8754462055","-1.3908598447"," 0.0000000000"," 0.0001579511"," 0.0000000000"," 0.0000000000"
